ProbeID	Name	GSM3722267	GSM3722268	GSM3722269	GSM3722270	GSM3722271	GSM3722272	GSM3722273	GSM3722274	GSM3722275	GSM3722276	GSM3722277	GSM3722278
FOSL1	FOSL1:FOSL1	4.321928094887363	4.321928094887363	4.554588851677638	6.442777659301516	5.739308070860385	5.929317594911761	4.490570130446201	5.2315092108670465	4.53605290024021	5.741736623826638	5.211401637418471	6.3564959877055776
FPR1	FPR1:FPR1	5.291677223176022	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FPR2	FPR2:FPR2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.71699089440494	4.321928094887363
FPR3	FPR3:FPR3	9.164630425521425	8.825881007005847	8.514161720655137	5.059614856297223	5.854743738995535	7.693138438342928	5.490249210627086	6.525912260743351	5.995258373404688	4.321928094887363	5.901108243014512	4.321928094887363
FSCN1	FSCN1:FSCN1	6.977508904540139	6.294069295088306	5.433960931121179	8.336818942547644	8.630012241559145	8.217860788141442	7.237640195035386	7.574025797924806	8.236301266827088	7.6519127446457835	8.246027980528105	7.818262608304474
FURIN	FURIN:FURIN	8.210963505601299	8.037382222003082	8.12484506325342	9.078924664094904	8.527477006060396	7.93315950379907	8.94251450533924	8.058532970201611	8.275426158084247	10.33908169681415	10.482545808025764	10.771572001181116
FUT4	FUT4:FUT4	6.81236986597222	6.980025300238734	6.69181329717138	6.368768349090335	6.768978250344548	6.611172380044005	6.742006210866737	7.214416268711034	6.84749588378871	6.703903573444664	6.780966197577076	7.237926946626263
FYN	FYN:FYN	11.732358245720656	12.38988673228712	11.477995998142276	11.943170459884048	12.349657198462403	12.32331095392529	12.354298977178972	12.314566251299667	12.188471397885811	11.229161289886026	11.900293237791319	11.385501142530881
FZD4	FZD4:FZD4	4.321928094887363	4.321928094887363	4.495695162624069	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FZD6	FZD6:FZD6	5.160274831408593	4.321928094887363	6.019034669364337	5.442943495848728	5.882153917287012	5.836176624809224	5.419875930422195	5.161081482277184	5.728464765092534	5.971313624068879	4.64961545906341	6.369117458599815
