ProbeID	Ptr	Name	Description
ENSG00000233276	21795	GPX1	ENST00000419783.2
ENSG00000205702	22037	CYP2D7	ENST00000435101.1
ENSG00000282181	22228	MROH5	ENST00000633377.1
ENSG00000263150	22310	OR8J2	ENST00000570683.3
ENSG00000274807	22375	KIR2DS4	ENST00000621991.4
ENSG00000166473	22442	PKD1L2	ENST00000534447.5
ENSG00000226807	22705	MROH5	ENST00000523857.5
ENSG00000285252	22787	OR10AC1	ENST00000645657.1
ENSG00000283008	22962	CYP2D7	ENST00000634782.1
ENSG00000284307	23211	KIR2DS4	ENST00000638472.1
ENSG00000283779	23278	KIR2DS4	ENST00000638933.1
ENSG00000283727	23345	KIR2DS4	ENST00000638401.1
ENSG00000284408	23412	KIR2DS4	ENST00000639581.1
ENSG00000283846	23479	KIR2DS4	ENST00000618023.5
ENSG00000284244	23546	KIR2DS4	ENST00000640635.2
ENSG00000211751	23613	TRBC1	ENST00000633705.1
ENSG00000277734	23809	TRAC	ENST00000611116.1
ENSG00000211829	23890	TRDC	ENST00000390477.2
ENSG00000276849	23954	TRBC2	ENST00000622053.4
ENSG00000281981	24200	TRBC1	ENST00000632136.1
ENSG00000211772	24396	TRBC2	ENST00000466254.1
ENSG00000211689	24476	TRGC1	ENST00000443402.6
ENSG00000227191	24541	TRGC2	ENST00000436911.6
ENSG00000211905	24606	IGHJ1	ENST00000390565.1
ENSG00000211680	24671	IGLJ4	ENST00000390326.2
ENSG00000211594	24736	IGKJ4	ENST00000390239.2
ENSG00000242887	24801	IGHJ3	ENST00000463911.1
ENSG00000242472	24866	IGHJ5	ENST00000488476.1
ENSG00000240041	24931	IGHJ4	ENST00000461719.1
ENSG00000282471	24996	IGHJ3	ENST00000633896.1
ENSG00000211900	25061	IGHJ6	ENST00000390560.2
ENSG00000211593	25126	IGKJ5	ENST00000390238.2
ENSG00000211682	25191	IGLJ6	ENST00000390328.2
ENSG00000211904	25256	IGHJ2	ENST00000390564.2
ENSG00000211597	25321	IGKJ1	ENST00000390242.2
ENSG00000211596	25386	IGKJ2	ENST00000390241.3
ENSG00000282409	25451	IGHJ1	ENST00000634062.1
ENSG00000211595	25516	IGKJ3	ENST00000390240.2
ENSG00000211674	25581	IGLJ1	ENST00000390320.2
ENSG00000211676	25646	IGLJ2	ENST00000390322.2
ENSG00000211678	25711	IGLJ3	ENST00000390324.2
ENSG00000282615	25776	IGHJ5	ENST00000633501.1
ENSG00000282065	25841	IGHJ4	ENST00000631521.1
ENSG00000211681	25906	IGLJ5	ENST00000390327.2
ENSG00000211684	25971	IGLJ7	ENST00000390330.2
ENSG00000282797	26036	IGHJ6	ENST00000631705.1
ENSG00000282342	26101	IGHJ2	ENST00000632178.1
ENSG00000211893	26166	IGHG2	ENST00000641095.1
ENSG00000211892	26231	IGHG4	ENST00000641978.1
ENSG00000211891	26296	IGHE	ENST00000641420.1
ENSG00000211896	26408	IGHG1	ENST00000390548.6
ENSG00000274497	26473	IGHG2	ENST00000621803.2
ENSG00000211899	26538	IGHM	ENST00000637539.2
ENSG00000211895	26602	IGHA1	ENST00000641837.1
ENSG00000211897	26701	IGHG3	ENST00000641136.1
ENSG00000211898	26766	IGHD	ENST00000390556.6
ENSG00000211890	26830	IGHA2	ENST00000497872.4
ENSG00000211685	26912	IGLC7	ENST00000390331.3
ENSG00000211677	26977	IGLC2	ENST00000390323.2
ENSG00000211675	27058	IGLC1	ENST00000390321.2
ENSG00000211592	27123	IGKC	ENST00000390237.2
ENSG00000211679	27203	IGLC3	ENST00000390325.2
ENSG00000282633	27268	IGHA1	ENST00000633714.1
ENSG00000282657	27367	IGHM	ENST00000626472.2
ENSG00000282184	27431	IGHG3	ENST00000632774.1
ENSG00000276173	27496	IGHA2	ENST00000622473.2
ENSG00000276192	27595	IGHE	ENST00000610670.2
ENSG00000278801	27723	IGHD	ENST00000633698.1
ENSG00000277633	27787	IGHG1	ENST00000631539.1
ENSG00000277016	27852	IGHG4	ENST00000618981.2
ENSG00000211976	27917	IGHV3-73	ENST00000390636.2
ENSG00000211956	27985	IGHV4-34	ENST00000390616.2
ENSG00000211949	28053	IGHV3-23	ENST00000390609.3
ENSG00000282651	28138	IGHV5-10-1	ENST00000632950.2
ENSG00000273962	28317	IGKV2-40	ENST00000620613.1
ENSG00000282305	28385	IGHV3-74	ENST00000633987.1
ENSG00000274576	28503	IGHV2-70	ENST00000617374.2
ENSG00000281990	28571	IGHV1-69-2	ENST00000632209.1
ENSG00000231475	28641	IGHV4-31	ENST00000438142.3
ENSG00000211941	28709	IGHV3-11	ENST00000390601.3
ENSG00000281078	28777	IGKV1D-8	ENST00000628219.1
ENSG00000282150	28845	AC234301.3	ENST00000631869.1
ENSG00000282777	28915	IGHV3-30	ENST00000633400.1
ENSG00000282745	28983	IGHV6-1	ENST00000633299.1
ENSG00000259261	29050	IGHV4OR15-8	ENST00000557788.2
ENSG00000243238	29121	IGKV2-30	ENST00000468494.1
ENSG00000278263	29189	AC135068.2	ENST00000622410.2
ENSG00000211611	29259	IGKV6-21	ENST00000390256.2
ENSG00000240382	29327	IGKV1-17	ENST00000490686.1
ENSG00000211967	29395	IGHV3-53	ENST00000390627.3
ENSG00000211962	29463	IGHV1-46	ENST00000390622.2
ENSG00000224373	29531	IGHV4-59	ENST00000390629.3
ENSG00000211955	29727	IGHV3-33	ENST00000390615.2
ENSG00000211964	29795	IGHV3-48	ENST00000390624.3
ENSG00000211952	29863	IGHV4-28	ENST00000390612.3
ENSG00000211945	29931	IGHV1-18	ENST00000390605.2
ENSG00000211944	29999	IGHV3-16	ENST00000390604.2
ENSG00000282122	30067	IGHV7-4-1	ENST00000631943.1
ENSG00000276775	30136	IGHV4-4	ENST00000455737.2
ENSG00000211933	30203	IGHV6-1	ENST00000390593.2
ENSG00000224650	30270	IGHV3-74	ENST00000424969.2
ENSG00000211979	30355	IGHV7-81	ENST00000390639.2
